,Name,Type,Constellation,Rise,Set,Duration,Magnitude
4618,Mel022,OCl,Tau,2,6,4.17,1.2
598,IC1318,*,Cyg,22,4,7.3,2.23
4064,NGC7114,*,Cyg,22,6,9.39,3.0
1545,NGC0224,G,And,23,6,8.35,3.44
1982,NGC0869,OCl,Per,23,2,4.17,3.7
1992,NGC0884,OCl,Per,23,2,4.17,3.8
1912,NGC0771,*,Cas,22,6,9.39,3.95
1225,IC4665,OCl,Oph,22,0,2.09,4.2
4054,NGC7092,OCl,Cyg,22,6,9.39,4.6
1238,IC4756,OCl,Se2,22,0,3.13,4.6
3760,NGC6633,OCl,Oph,22,0,3.13,4.6
2432,NGC2168,OCl,Gem,4,6,2.09,5.1
3917,NGC6871,OCl,Cyg,22,4,7.3,5.2
2105,NGC1039,OCl,Per,0,3,3.13,5.2
2460,NGC2281,OCl,Aur,4,6,2.09,5.4
4487,NGC7686,OCl,And,22,6,9.39,5.6
2421,NGC2099,OCl,Aur,3,6,3.13,5.6
1900,NGC0752,OCl,And,0,6,7.3,5.7
3610,NGC6402,GCl,Oph,22,23,1.04,5.73
1797,NGC0598,G,Tri,0,6,7.3,5.79
3468,NGC6205,GCl,Her,22,0,3.13,5.8
3819,NGC6705,OCl,Sct,22,23,1.04,5.8
2433,NGC2169,OCl,Ori,5,6,1.04,5.9
2411,NGC1960,OCl,Aur,3,6,3.13,6.0
3193,NGC5856,**,Boo,22,23,1.04,6.03
4085,NGC7160,OCl,Cep,22,6,9.39,6.1
3901,NGC6838,GCl,Sge,22,2,5.22,6.1
2391,NGC1746,OCl,Tau,3,6,3.13,6.1
2336,NGC1545,OCl,Per,0,4,4.17,6.2
4053,NGC7089,GCl,Aqr,23,2,4.17,6.25
3325,NGC6049,*,Se1,22,23,1.04,6.27
3956,NGC6940,OCl,Vul,22,4,7.3,6.3
4045,NGC7078,GCl,Peg,22,3,6.26,6.3
2408,NGC1912,OCl,Aur,3,6,3.13,6.4
2370,NGC1647,OCl,Tau,3,6,3.13,6.4
4126,NGC7243,OCl,Lac,22,6,9.39,6.4
2376,NGC1662,OCl,Ori,4,6,2.09,6.4
2329,NGC1528,OCl,Per,0,4,4.17,6.4
1689,NGC0457,OCl,Cas,22,6,9.39,6.4
953,IC1851,*,Cas,23,3,5.22,6.44
2420,NGC2045,*,Tau,5,6,1.04,6.46
1826,NGC0654,OCl,Cas,22,2,5.22,6.5
916,IC1805,Cl+N,Cas,22,2,5.22,6.5
1489,NGC0129,OCl,Cas,22,6,9.39,6.5
950,IC1848,Cl+N,Cas,23,3,5.22,6.5
3566,NGC6341,GCl,Her,23,2,4.17,6.52
2306,NGC1444,OCl,Per,0,4,4.17,6.6
3939,NGC6913,OCl,Cyg,22,4,7.3,6.6
2282,NGC1342,OCl,Per,1,4,3.13,6.7
4571,NGC7789,OCl,Cas,22,6,9.39,6.7
3820,NGC6709,OCl,Aql,22,0,3.13,6.7
2425,NGC2129,OCl,Gem,4,6,2.09,6.7
2097,NGC1027,OCl,Cas,22,3,6.26,6.7
2435,NGC2175,Cl+N,Ori,5,6,1.04,6.8
3879,NGC6811,OCl,Cyg,1,4,3.13,6.8
2323,NGC1502,OCl,Cam,0,4,5.22,6.9
4462,NGC7654,OCl,Cas,22,6,9.39,6.9
2660,NGC3031,G,UMa,22,6,9.39,6.92
2399,NGC1807,OCl,Tau,4,6,2.09,7.0
2402,NGC1857,OCl,Aur,2,6,4.17,7.0
2349,NGC1582,OCl,Per,1,5,4.17,7.0
1546,NGC0225,OCl,Cas,22,6,9.39,7.0
4034,NGC7063,OCl,Cyg,22,5,8.35,7.0
1834,NGC0663,OCl,Cas,22,2,5.22,7.1
3888,NGC6823,Cl+N,Vul,22,2,5.22,7.1
